post_id,suspect_id,platform,post_text,timestamp,ai_sentiment_flag,likes,shares
POST00258,SUS0010,Twitter/X,"Big deal coming this weekend, stay ready",2026-04-27 04:00:00,Coded/Ambiguous,393,79
POST00259,SUS0080,Instagram,"Meet at the usual spot, 9pm sharp",2026-05-07 02:00:00,Threatening,206,13
POST00260,SUS0114,Twitter/X,"Match today, who's watching",2026-04-04 21:00:00,Suspicious,456,35
POST00261,SUS0025,Telegram,"Payment cleared, thanks bhai",2026-08-16 00:00:00,Suspicious,247,10
POST00262,SUS0134,Telegram,"Payment cleared, thanks bhai",2026-04-18 08:00:00,Neutral,64,37
POST00263,SUS0077,WhatsApp Status,"Big deal coming this weekend, stay ready",2026-07-30 15:00:00,Suspicious,280,53
POST00264,SUS0121,WhatsApp Status,"Big deal coming this weekend, stay ready",2026-01-22 03:00:00,Coded/Ambiguous,237,59
POST00265,SUS0004,Twitter/X,Package delivered successfully,2026-03-01 07:00:00,Neutral,354,36
POST00266,SUS0076,Instagram,"Match today, who's watching",2026-02-27 00:00:00,Neutral,430,48
POST00267,SUS0109,Telegram,"Lay low for few days, situation hot",2026-07-17 16:00:00,Coded/Ambiguous,336,32
POST00268,SUS0016,Facebook,"Big deal coming this weekend, stay ready",2026-07-13 06:00:00,Neutral,262,12
POST00269,SUS0119,WhatsApp Status,"Lay low for few days, situation hot",2026-04-24 19:00:00,Coded/Ambiguous,477,75
POST00270,SUS0147,Facebook,Happy Diwali to all my brothers,2026-02-06 08:00:00,Coded/Ambiguous,145,59
POST00271,SUS0006,Facebook,"Meet at the usual spot, 9pm sharp",2026-03-14 16:00:00,Neutral,30,11
POST00272,SUS0131,Twitter/X,New shipment arriving from border,2026-04-20 09:00:00,Neutral,416,33
POST00273,SUS0092,Twitter/X,"Police checking naka near highway, be careful",2026-06-26 12:00:00,Neutral,85,59
POST00274,SUS0095,Facebook,"Match today, who's watching",2026-06-02 02:00:00,Neutral,138,30
POST00275,SUS0118,Telegram,Package delivered successfully,2026-03-11 06:00:00,Neutral,412,60
POST00276,SUS0076,Facebook,"Police checking naka near highway, be careful",2026-01-08 22:00:00,Neutral,161,11
POST00277,SUS0040,Instagram,"Meet at the usual spot, 9pm sharp",2026-02-22 03:00:00,Coded/Ambiguous,55,8
POST00278,SUS0030,Twitter/X,Package delivered successfully,2026-06-01 00:00:00,Neutral,250,13
POST00279,SUS0064,Twitter/X,"Lay low for few days, situation hot",2026-07-08 12:00:00,Neutral,184,16
POST00280,SUS0046,Telegram,"Payment cleared, thanks bhai",2026-01-20 21:00:00,Neutral,401,56
POST00281,SUS0063,Facebook,New shipment arriving from border,2026-07-11 11:00:00,Suspicious,161,54
POST00282,SUS0031,Instagram,"Meet at the usual spot, 9pm sharp",2026-02-01 13:00:00,Coded/Ambiguous,342,79
POST00283,SUS0147,Facebook,"Payment cleared, thanks bhai",2026-07-03 19:00:00,Neutral,211,10
POST00284,SUS0137,Instagram,"Police checking naka near highway, be careful",2026-03-12 10:00:00,Neutral,274,19
POST00285,SUS0103,WhatsApp Status,"Lay low for few days, situation hot",2026-05-16 04:00:00,Neutral,54,34
POST00286,SUS0149,Facebook,"Payment cleared, thanks bhai",2026-07-29 21:00:00,Coded/Ambiguous,409,24
POST00287,SUS0035,Facebook,"New phone number, save it",2026-02-19 11:00:00,Neutral,422,44
POST00288,SUS0131,Instagram,New shipment arriving from border,2026-01-15 22:00:00,Coded/Ambiguous,448,21
POST00289,SUS0131,Telegram,"Police checking naka near highway, be careful",2026-05-13 00:00:00,Neutral,161,5
POST00290,SUS0128,Telegram,"New phone number, save it",2026-07-03 21:00:00,Neutral,413,27
POST00291,SUS0093,Instagram,Package delivered successfully,2026-03-08 09:00:00,Neutral,360,60
POST00292,SUS0127,Instagram,"Payment cleared, thanks bhai",2026-05-06 15:00:00,Neutral,289,49
POST00293,SUS0068,Telegram,New shipment arriving from border,2026-07-23 18:00:00,Neutral,144,6
POST00294,SUS0013,WhatsApp Status,Happy Diwali to all my brothers,2026-04-22 00:00:00,Suspicious,473,17
POST00295,SUS0100,Telegram,Happy Diwali to all my brothers,2026-03-18 17:00:00,Neutral,186,46
POST00296,SUS0054,WhatsApp Status,"Lay low for few days, situation hot",2026-05-08 14:00:00,Neutral,180,37
POST00297,SUS0098,Twitter/X,"Meet at the usual spot, 9pm sharp",2026-01-06 18:00:00,Neutral,453,32
POST00298,SUS0007,Instagram,"Police checking naka near highway, be careful",2026-04-30 05:00:00,Neutral,374,25
POST00299,SUS0112,WhatsApp Status,Happy Diwali to all my brothers,2026-01-12 02:00:00,Neutral,437,28
POST00300,SUS0037,Telegram,"Payment cleared, thanks bhai",2026-08-04 20:00:00,Suspicious,288,18
POST00301,SUS0102,Instagram,"Meet at the usual spot, 9pm sharp",2026-02-04 11:00:00,Threatening,103,15
POST00302,SUS0101,Twitter/X,New shipment arriving from border,2026-07-18 01:00:00,Neutral,332,29
POST00303,SUS0150,WhatsApp Status,"Lay low for few days, situation hot",2026-03-18 07:00:00,Suspicious,132,34
POST00304,SUS0040,Facebook,"Lay low for few days, situation hot",2026-04-28 17:00:00,Neutral,218,11
POST00305,SUS0128,Instagram,"Lay low for few days, situation hot",2026-06-01 08:00:00,Suspicious,172,39
POST00306,SUS0091,WhatsApp Status,"Police checking naka near highway, be careful",2026-07-02 19:00:00,Coded/Ambiguous,448,14
POST00307,SUS0045,Telegram,New shipment arriving from border,2026-04-25 23:00:00,Threatening,363,36
POST00308,SUS0037,Facebook,"Meet at the usual spot, 9pm sharp",2026-04-23 23:00:00,Suspicious,435,18
POST00309,SUS0072,Facebook,Package delivered successfully,2026-08-19 00:00:00,Neutral,201,16
POST00310,SUS0122,Instagram,"Match today, who's watching",2026-04-10 03:00:00,Suspicious,363,3
POST00311,SUS0071,Instagram,Happy Diwali to all my brothers,2026-01-11 08:00:00,Neutral,50,10
POST00312,SUS0042,Twitter/X,New shipment arriving from border,2026-05-22 12:00:00,Suspicious,493,2
POST00313,SUS0090,WhatsApp Status,Package delivered successfully,2026-01-02 04:00:00,Suspicious,82,4
POST00314,SUS0123,Instagram,"Payment cleared, thanks bhai",2026-07-18 20:00:00,Suspicious,300,45
POST00315,SUS0044,Telegram,Package delivered successfully,2026-07-23 16:00:00,Suspicious,251,61
POST00316,SUS0070,Instagram,"Lay low for few days, situation hot",2026-02-16 06:00:00,Neutral,111,29
POST00317,SUS0117,WhatsApp Status,Package delivered successfully,2026-02-19 23:00:00,Threatening,493,27
POST00318,SUS0108,Instagram,"Lay low for few days, situation hot",2026-07-17 23:00:00,Neutral,61,5
POST00319,SUS0004,Facebook,"Big deal coming this weekend, stay ready",2026-02-05 12:00:00,Suspicious,34,32
POST00320,SUS0050,WhatsApp Status,"Payment cleared, thanks bhai",2026-08-17 20:00:00,Coded/Ambiguous,197,72
POST00321,SUS0098,Twitter/X,New shipment arriving from border,2026-07-22 10:00:00,Coded/Ambiguous,184,45
POST00322,SUS0122,Twitter/X,"Big deal coming this weekend, stay ready",2026-03-05 03:00:00,Neutral,286,72
POST00323,SUS0144,Twitter/X,"New phone number, save it",2026-02-19 02:00:00,Suspicious,340,72
POST00324,SUS0093,Facebook,"Lay low for few days, situation hot",2026-01-14 15:00:00,Neutral,239,57
POST00325,SUS0059,Facebook,"Lay low for few days, situation hot",2026-01-27 04:00:00,Suspicious,455,35
POST00326,SUS0022,Facebook,"New phone number, save it",2026-07-09 09:00:00,Neutral,350,58
POST00327,SUS0096,Telegram,"Big deal coming this weekend, stay ready",2026-06-05 20:00:00,Suspicious,278,2
POST00328,SUS0001,Twitter/X,"Match today, who's watching",2026-06-05 01:00:00,Neutral,287,80
POST00329,SUS0123,Instagram,"Meet at the usual spot, 9pm sharp",2026-01-22 05:00:00,Suspicious,177,23
POST00330,SUS0063,Twitter/X,"Police checking naka near highway, be careful",2026-06-02 20:00:00,Suspicious,67,30
POST00331,SUS0054,WhatsApp Status,"Lay low for few days, situation hot",2026-01-20 10:00:00,Coded/Ambiguous,264,59
POST00332,SUS0090,WhatsApp Status,"Police checking naka near highway, be careful",2026-01-30 14:00:00,Suspicious,15,25
POST00333,SUS0043,Twitter/X,"New phone number, save it",2026-02-20 00:00:00,Suspicious,406,55
POST00334,SUS0001,Telegram,"Payment cleared, thanks bhai",2026-08-15 19:00:00,Coded/Ambiguous,172,1
POST00335,SUS0044,Facebook,"Payment cleared, thanks bhai",2026-07-23 23:00:00,Neutral,477,3
POST00336,SUS0013,Instagram,"New phone number, save it",2026-04-24 16:00:00,Suspicious,264,62
POST00337,SUS0084,Twitter/X,"New phone number, save it",2026-03-29 21:00:00,Neutral,300,43
POST00338,SUS0148,Instagram,"Payment cleared, thanks bhai",2026-07-12 03:00:00,Neutral,316,56
POST00339,SUS0046,Instagram,Happy Diwali to all my brothers,2026-08-19 07:00:00,Suspicious,346,50
POST00340,SUS0033,Instagram,"New phone number, save it",2026-04-25 05:00:00,Suspicious,53,69
POST00341,SUS0032,Facebook,Package delivered successfully,2026-03-15 22:00:00,Neutral,333,70
POST00342,SUS0070,Instagram,"Police checking naka near highway, be careful",2026-07-15 21:00:00,Coded/Ambiguous,464,51
POST00343,SUS0038,Facebook,Happy Diwali to all my brothers,2026-01-28 15:00:00,Neutral,475,37
POST00344,SUS0052,Telegram,"Payment cleared, thanks bhai",2026-08-08 18:00:00,Neutral,229,32
POST00345,SUS0009,Telegram,"New phone number, save it",2026-04-24 17:00:00,Suspicious,288,65
POST00346,SUS0093,Twitter/X,"Match today, who's watching",2026-05-17 10:00:00,Neutral,490,11
POST00347,SUS0014,Facebook,Happy Diwali to all my brothers,2026-04-12 20:00:00,Suspicious,500,54
POST00348,SUS0075,WhatsApp Status,"Match today, who's watching",2026-01-24 16:00:00,Suspicious,230,68
POST00349,SUS0082,Facebook,"Match today, who's watching",2026-02-25 14:00:00,Neutral,142,73
POST00350,SUS0055,Instagram,Happy Diwali to all my brothers,2026-08-13 03:00:00,Threatening,346,76
POST00351,SUS0134,Telegram,New shipment arriving from border,2026-02-07 08:00:00,Coded/Ambiguous,279,1
POST00352,SUS0070,WhatsApp Status,"Payment cleared, thanks bhai",2026-04-23 00:00:00,Neutral,102,49
POST00353,SUS0089,WhatsApp Status,"Match today, who's watching",2026-01-18 16:00:00,Neutral,91,55
POST00354,SUS0036,Facebook,New shipment arriving from border,2026-07-13 01:00:00,Suspicious,240,26
POST00355,SUS0088,Telegram,"Meet at the usual spot, 9pm sharp",2026-07-18 15:00:00,Neutral,456,61
POST00356,SUS0048,WhatsApp Status,New shipment arriving from border,2026-01-19 04:00:00,Neutral,399,43
POST00357,SUS0118,WhatsApp Status,"Lay low for few days, situation hot",2026-06-18 16:00:00,Neutral,58,47
POST00358,SUS0060,Telegram,"Payment cleared, thanks bhai",2026-02-06 22:00:00,Neutral,194,2
POST00359,SUS0002,Instagram,"Big deal coming this weekend, stay ready",2026-05-29 17:00:00,Coded/Ambiguous,469,62
POST00360,SUS0138,Facebook,"Lay low for few days, situation hot",2026-02-24 13:00:00,Neutral,15,25
POST00361,SUS0069,Facebook,Happy Diwali to all my brothers,2026-01-19 07:00:00,Neutral,64,75
POST00362,SUS0132,WhatsApp Status,"New phone number, save it",2026-03-24 13:00:00,Neutral,439,56
POST00363,SUS0113,Telegram,"Match today, who's watching",2026-07-28 00:00:00,Coded/Ambiguous,22,3
POST00364,SUS0128,Facebook,"Meet at the usual spot, 9pm sharp",2026-03-11 12:00:00,Coded/Ambiguous,126,56
POST00365,SUS0009,Telegram,"Lay low for few days, situation hot",2026-01-14 08:00:00,Neutral,158,36
POST00366,SUS0051,Telegram,"Match today, who's watching",2026-04-10 17:00:00,Neutral,122,64
POST00367,SUS0118,Telegram,"Meet at the usual spot, 9pm sharp",2026-04-22 05:00:00,Coded/Ambiguous,362,62
POST00368,SUS0078,Instagram,"Police checking naka near highway, be careful",2026-08-02 00:00:00,Neutral,426,64
POST00369,SUS0112,WhatsApp Status,"New phone number, save it",2026-04-20 03:00:00,Neutral,370,63
POST00370,SUS0079,Instagram,Package delivered successfully,2026-01-18 08:00:00,Suspicious,451,29
POST00371,SUS0017,Telegram,"Lay low for few days, situation hot",2026-03-06 03:00:00,Suspicious,88,53
POST00372,SUS0054,Facebook,"Lay low for few days, situation hot",2026-07-01 08:00:00,Neutral,69,26
POST00373,SUS0057,Facebook,"New phone number, save it",2026-05-28 18:00:00,Coded/Ambiguous,62,40
POST00374,SUS0145,Twitter/X,"Big deal coming this weekend, stay ready",2026-07-21 00:00:00,Suspicious,108,17
POST00375,SUS0002,Instagram,"Payment cleared, thanks bhai",2026-03-16 22:00:00,Coded/Ambiguous,472,44
POST00376,SUS0108,Instagram,"Meet at the usual spot, 9pm sharp",2026-04-27 15:00:00,Neutral,56,59
POST00377,SUS0098,WhatsApp Status,"Payment cleared, thanks bhai",2026-04-10 00:00:00,Neutral,301,29
POST00378,SUS0148,Instagram,Happy Diwali to all my brothers,2026-01-22 03:00:00,Suspicious,189,56
POST00379,SUS0103,Telegram,"Match today, who's watching",2026-05-06 21:00:00,Threatening,477,47
POST00380,SUS0122,Instagram,Happy Diwali to all my brothers,2026-07-04 13:00:00,Suspicious,246,50
POST00381,SUS0012,Instagram,Package delivered successfully,2026-05-24 11:00:00,Neutral,435,17
POST00382,SUS0112,Twitter/X,"Police checking naka near highway, be careful",2026-03-21 10:00:00,Coded/Ambiguous,251,46
POST00383,SUS0016,Telegram,"Lay low for few days, situation hot",2026-03-15 18:00:00,Suspicious,270,17
POST00384,SUS0143,Instagram,Package delivered successfully,2026-05-09 15:00:00,Suspicious,379,35
POST00385,SUS0037,WhatsApp Status,Happy Diwali to all my brothers,2026-02-12 00:00:00,Neutral,185,5
POST00386,SUS0107,WhatsApp Status,Package delivered successfully,2026-08-16 19:00:00,Suspicious,239,29
POST00387,SUS0135,Telegram,"Payment cleared, thanks bhai",2026-04-21 21:00:00,Neutral,409,61
POST00388,SUS0036,Twitter/X,Happy Diwali to all my brothers,2026-03-20 13:00:00,Neutral,125,20
POST00389,SUS0023,WhatsApp Status,"Big deal coming this weekend, stay ready",2026-03-07 07:00:00,Neutral,356,24
POST00390,SUS0146,Twitter/X,New shipment arriving from border,2026-07-30 07:00:00,Coded/Ambiguous,55,14
POST00391,SUS0131,Instagram,"Big deal coming this weekend, stay ready",2026-03-09 21:00:00,Suspicious,256,68
POST00392,SUS0083,Facebook,"Match today, who's watching",2026-03-29 16:00:00,Neutral,356,37
POST00393,SUS0092,Twitter/X,Happy Diwali to all my brothers,2026-02-09 18:00:00,Neutral,141,24
POST00394,SUS0106,WhatsApp Status,"Payment cleared, thanks bhai",2026-06-05 14:00:00,Neutral,108,40
POST00395,SUS0019,Facebook,"Lay low for few days, situation hot",2026-08-28 14:00:00,Coded/Ambiguous,332,64
POST00396,SUS0117,Telegram,New shipment arriving from border,2026-07-02 02:00:00,Neutral,489,54
POST00397,SUS0111,WhatsApp Status,New shipment arriving from border,2026-08-13 07:00:00,Coded/Ambiguous,364,73
POST00398,SUS0091,Instagram,"New phone number, save it",2026-07-01 23:00:00,Suspicious,34,59
POST00399,SUS0137,Telegram,"Police checking naka near highway, be careful",2026-08-25 04:00:00,Coded/Ambiguous,462,5
POST00400,SUS0032,Telegram,"Lay low for few days, situation hot",2026-06-03 19:00:00,Coded/Ambiguous,66,33
POST00401,SUS0109,Telegram,"Payment cleared, thanks bhai",2026-08-28 19:00:00,Suspicious,360,21
POST00402,SUS0051,Telegram,"New phone number, save it",2026-04-11 21:00:00,Neutral,268,46
POST00403,SUS0030,Telegram,"Match today, who's watching",2026-05-05 18:00:00,Neutral,289,77
POST00404,SUS0013,Telegram,Package delivered successfully,2026-01-24 00:00:00,Suspicious,416,9
POST00405,SUS0015,Facebook,"Police checking naka near highway, be careful",2026-06-23 19:00:00,Coded/Ambiguous,428,1
POST00406,SUS0049,Facebook,"Match today, who's watching",2026-05-19 21:00:00,Neutral,63,46
POST00407,SUS0020,Telegram,"Payment cleared, thanks bhai",2026-05-27 01:00:00,Coded/Ambiguous,87,39
POST00408,SUS0070,Twitter/X,Package delivered successfully,2026-04-17 22:00:00,Neutral,200,43
POST00409,SUS0109,Instagram,New shipment arriving from border,2026-04-15 06:00:00,Suspicious,18,66
POST00410,SUS0040,Instagram,Package delivered successfully,2026-03-15 06:00:00,Neutral,123,68
POST00411,SUS0024,Telegram,New shipment arriving from border,2026-03-12 00:00:00,Neutral,160,40
POST00412,SUS0135,Facebook,"Meet at the usual spot, 9pm sharp",2026-08-03 09:00:00,Suspicious,31,18
POST00413,SUS0073,Instagram,New shipment arriving from border,2026-05-16 09:00:00,Threatening,25,62
POST00414,SUS0072,Facebook,"Lay low for few days, situation hot",2026-04-05 00:00:00,Neutral,482,23
POST00415,SUS0132,Telegram,"Lay low for few days, situation hot",2026-01-14 18:00:00,Suspicious,12,17
POST00416,SUS0068,Facebook,"Payment cleared, thanks bhai",2026-03-11 00:00:00,Coded/Ambiguous,44,3
POST00417,SUS0004,Facebook,"Meet at the usual spot, 9pm sharp",2026-04-30 15:00:00,Suspicious,120,42
POST00418,SUS0062,Facebook,"Match today, who's watching",2026-08-29 04:00:00,Suspicious,250,55
POST00419,SUS0091,Telegram,"Match today, who's watching",2026-03-29 08:00:00,Neutral,65,56
POST00420,SUS0092,WhatsApp Status,"Police checking naka near highway, be careful",2026-05-02 07:00:00,Neutral,474,13
POST00421,SUS0074,Telegram,Package delivered successfully,2026-04-30 03:00:00,Coded/Ambiguous,219,13
POST00422,SUS0087,WhatsApp Status,New shipment arriving from border,2026-08-17 21:00:00,Suspicious,381,16
POST00423,SUS0069,Twitter/X,"Big deal coming this weekend, stay ready",2026-02-15 14:00:00,Coded/Ambiguous,177,7
POST00424,SUS0026,WhatsApp Status,New shipment arriving from border,2026-02-23 08:00:00,Suspicious,25,55
POST00425,SUS0041,Instagram,"New phone number, save it",2026-05-01 19:00:00,Coded/Ambiguous,258,23
POST00426,SUS0074,WhatsApp Status,"Match today, who's watching",2026-07-27 14:00:00,Neutral,35,16
POST00427,SUS0012,Twitter/X,"Meet at the usual spot, 9pm sharp",2026-02-26 14:00:00,Suspicious,75,56
POST00428,SUS0089,Instagram,"Lay low for few days, situation hot",2026-06-03 07:00:00,Suspicious,161,59
POST00429,SUS0023,Twitter/X,"Meet at the usual spot, 9pm sharp",2026-03-15 05:00:00,Threatening,215,23
POST00430,SUS0046,Instagram,Happy Diwali to all my brothers,2026-01-09 22:00:00,Coded/Ambiguous,306,11
POST00431,SUS0012,Facebook,"Payment cleared, thanks bhai",2026-01-01 22:00:00,Coded/Ambiguous,201,32
POST00432,SUS0056,Facebook,"Payment cleared, thanks bhai",2026-04-11 08:00:00,Neutral,383,72
POST00433,SUS0108,Twitter/X,"Payment cleared, thanks bhai",2026-05-31 02:00:00,Neutral,323,7
POST00434,SUS0119,Telegram,Package delivered successfully,2026-06-11 04:00:00,Coded/Ambiguous,203,64
POST00435,SUS0062,WhatsApp Status,"Match today, who's watching",2026-03-23 05:00:00,Suspicious,462,57
POST00436,SUS0140,WhatsApp Status,"Match today, who's watching",2026-03-23 21:00:00,Neutral,468,27
POST00437,SUS0049,Twitter/X,New shipment arriving from border,2026-05-19 11:00:00,Neutral,301,5
POST00438,SUS0016,Facebook,New shipment arriving from border,2026-06-20 13:00:00,Suspicious,175,65
POST00439,SUS0109,Instagram,"Match today, who's watching",2026-06-15 15:00:00,Coded/Ambiguous,206,47
POST00440,SUS0142,Instagram,"Match today, who's watching",2026-04-16 03:00:00,Neutral,493,59
POST00441,SUS0008,Facebook,"Payment cleared, thanks bhai",2026-03-03 09:00:00,Coded/Ambiguous,112,23
POST00442,SUS0074,Telegram,"Police checking naka near highway, be careful",2026-07-29 12:00:00,Suspicious,438,67
POST00443,SUS0073,Telegram,"Police checking naka near highway, be careful",2026-08-29 02:00:00,Neutral,376,25
POST00444,SUS0086,Instagram,"Police checking naka near highway, be careful",2026-01-31 14:00:00,Suspicious,498,8
POST00445,SUS0132,Telegram,"Match today, who's watching",2026-04-04 03:00:00,Neutral,183,72
POST00446,SUS0093,Telegram,Happy Diwali to all my brothers,2026-08-22 18:00:00,Neutral,6,5
POST00447,SUS0059,Facebook,"Match today, who's watching",2026-06-30 07:00:00,Threatening,93,72
POST00448,SUS0102,Facebook,"New phone number, save it",2026-07-08 08:00:00,Neutral,45,1
POST00449,SUS0145,Instagram,Package delivered successfully,2026-02-10 05:00:00,Neutral,173,45
POST00450,SUS0123,Facebook,"Police checking naka near highway, be careful",2026-08-23 18:00:00,Coded/Ambiguous,232,16
POST00451,SUS0059,Twitter/X,Happy Diwali to all my brothers,2026-05-05 12:00:00,Neutral,145,18
POST00452,SUS0110,Telegram,"Big deal coming this weekend, stay ready",2026-03-20 06:00:00,Neutral,23,69
POST00453,SUS0020,WhatsApp Status,Package delivered successfully,2026-02-26 15:00:00,Neutral,73,15
POST00454,SUS0005,Facebook,"Police checking naka near highway, be careful",2026-06-08 06:00:00,Suspicious,159,24
POST00455,SUS0040,Instagram,"Police checking naka near highway, be careful",2026-02-12 19:00:00,Neutral,290,50
POST00456,SUS0035,Telegram,"Big deal coming this weekend, stay ready",2026-05-23 08:00:00,Suspicious,346,75
POST00457,SUS0085,Telegram,"Big deal coming this weekend, stay ready",2026-02-20 19:00:00,Coded/Ambiguous,275,27
POST00458,SUS0076,WhatsApp Status,Happy Diwali to all my brothers,2026-07-12 15:00:00,Suspicious,12,6
POST00459,SUS0113,Telegram,"Payment cleared, thanks bhai",2026-05-10 04:00:00,Neutral,200,48
POST00460,SUS0080,Twitter/X,New shipment arriving from border,2026-06-26 17:00:00,Suspicious,348,72
POST00461,SUS0080,Instagram,Happy Diwali to all my brothers,2026-02-23 16:00:00,Suspicious,463,2
POST00462,SUS0136,Telegram,"Lay low for few days, situation hot",2026-03-25 10:00:00,Neutral,84,73
POST00463,SUS0123,Facebook,Happy Diwali to all my brothers,2026-07-22 05:00:00,Neutral,107,18
POST00464,SUS0084,Instagram,Package delivered successfully,2026-04-25 23:00:00,Suspicious,367,52
POST00465,SUS0139,Telegram,"Lay low for few days, situation hot",2026-07-29 22:00:00,Threatening,492,7
POST00466,SUS0070,Facebook,New shipment arriving from border,2026-04-30 05:00:00,Threatening,129,32
POST00467,SUS0111,Twitter/X,"Meet at the usual spot, 9pm sharp",2026-04-17 12:00:00,Neutral,479,38
POST00468,SUS0099,WhatsApp Status,"Big deal coming this weekend, stay ready",2026-01-23 17:00:00,Coded/Ambiguous,202,21
POST00469,SUS0129,WhatsApp Status,Happy Diwali to all my brothers,2026-07-28 17:00:00,Threatening,356,66
POST00470,SUS0121,WhatsApp Status,"Payment cleared, thanks bhai",2026-06-07 05:00:00,Coded/Ambiguous,457,32
POST00471,SUS0005,WhatsApp Status,"Lay low for few days, situation hot",2026-07-13 07:00:00,Neutral,490,54
POST00472,SUS0083,Instagram,New shipment arriving from border,2026-04-17 02:00:00,Suspicious,24,71
POST00473,SUS0139,WhatsApp Status,New shipment arriving from border,2026-02-28 22:00:00,Coded/Ambiguous,126,69
POST00474,SUS0008,Instagram,"Lay low for few days, situation hot",2026-02-01 12:00:00,Threatening,240,53
POST00475,SUS0150,Telegram,New shipment arriving from border,2026-01-18 04:00:00,Suspicious,308,31
POST00476,SUS0142,Facebook,"Meet at the usual spot, 9pm sharp",2026-07-26 00:00:00,Threatening,81,3
POST00477,SUS0020,Instagram,"Meet at the usual spot, 9pm sharp",2026-04-09 06:00:00,Suspicious,92,3
POST00478,SUS0002,Instagram,New shipment arriving from border,2026-06-10 04:00:00,Suspicious,77,27
POST00479,SUS0019,Telegram,New shipment arriving from border,2026-08-26 06:00:00,Coded/Ambiguous,326,27
POST00480,SUS0018,Twitter/X,"Lay low for few days, situation hot",2026-03-16 00:00:00,Suspicious,85,62
POST00481,SUS0012,Telegram,"Meet at the usual spot, 9pm sharp",2026-02-16 07:00:00,Suspicious,247,23
POST00482,SUS0009,WhatsApp Status,Package delivered successfully,2026-08-02 03:00:00,Suspicious,9,31
POST00483,SUS0026,Telegram,"Match today, who's watching",2026-06-19 14:00:00,Suspicious,462,73
POST00484,SUS0004,WhatsApp Status,"Big deal coming this weekend, stay ready",2026-01-02 22:00:00,Suspicious,327,10
POST00485,SUS0119,Facebook,New shipment arriving from border,2026-04-07 10:00:00,Coded/Ambiguous,480,37
POST00486,SUS0080,WhatsApp Status,"Payment cleared, thanks bhai",2026-05-16 07:00:00,Coded/Ambiguous,465,61
POST00487,SUS0030,Telegram,"Police checking naka near highway, be careful",2026-04-06 02:00:00,Neutral,155,55
POST00488,SUS0030,WhatsApp Status,"Big deal coming this weekend, stay ready",2026-01-30 14:00:00,Coded/Ambiguous,231,1
POST00489,SUS0035,Twitter/X,"New phone number, save it",2026-05-04 04:00:00,Coded/Ambiguous,432,32
POST00490,SUS0014,WhatsApp Status,New shipment arriving from border,2026-01-12 19:00:00,Suspicious,4,69
POST00491,SUS0052,Facebook,"Lay low for few days, situation hot",2026-03-14 20:00:00,Suspicious,428,26
POST00492,SUS0043,WhatsApp Status,"Big deal coming this weekend, stay ready",2026-01-29 12:00:00,Neutral,445,27
POST00493,SUS0046,Facebook,"Meet at the usual spot, 9pm sharp",2026-03-09 22:00:00,Suspicious,349,44
POST00494,SUS0048,Facebook,Happy Diwali to all my brothers,2026-07-02 14:00:00,Neutral,335,5
POST00495,SUS0042,Telegram,"Meet at the usual spot, 9pm sharp",2026-01-23 07:00:00,Neutral,288,44
POST00496,SUS0075,Telegram,New shipment arriving from border,2026-02-12 16:00:00,Neutral,252,3
POST00497,SUS0026,Twitter/X,Happy Diwali to all my brothers,2026-07-11 02:00:00,Suspicious,57,55
POST00498,SUS0120,Facebook,"New phone number, save it",2026-07-23 23:00:00,Suspicious,487,76
POST00499,SUS0002,WhatsApp Status,"Meet at the usual spot, 9pm sharp",2026-02-15 10:00:00,Neutral,203,32
POST00500,SUS0044,Facebook,New shipment arriving from border,2026-04-21 14:00:00,Threatening,87,5
POST00501,SUS0147,Instagram,"Match today, who's watching",2026-03-18 02:00:00,Suspicious,106,2
POST00502,SUS0073,Twitter/X,"Police checking naka near highway, be careful",2026-06-22 00:00:00,Threatening,311,66
POST00503,SUS0072,Twitter/X,"Big deal coming this weekend, stay ready",2026-07-19 02:00:00,Suspicious,229,41
POST00504,SUS0082,Facebook,"Payment cleared, thanks bhai",2026-01-01 16:00:00,Suspicious,280,37
POST00505,SUS0106,Telegram,"Match today, who's watching",2026-08-26 15:00:00,Neutral,258,32
POST00506,SUS0112,Twitter/X,"Match today, who's watching",2026-04-26 19:00:00,Neutral,286,29
POST00507,SUS0007,Instagram,Happy Diwali to all my brothers,2026-06-16 14:00:00,Neutral,425,5
POST00508,SUS0087,Twitter/X,New shipment arriving from border,2026-08-28 16:00:00,Neutral,43,63
POST00509,SUS0042,Telegram,"Match today, who's watching",2026-04-24 05:00:00,Suspicious,124,17
POST00510,SUS0141,WhatsApp Status,"Big deal coming this weekend, stay ready",2026-02-17 18:00:00,Neutral,464,30
POST00511,SUS0034,Facebook,"Meet at the usual spot, 9pm sharp",2026-01-03 11:00:00,Neutral,32,24
POST00512,SUS0066,WhatsApp Status,New shipment arriving from border,2026-01-08 13:00:00,Coded/Ambiguous,15,9
POST00513,SUS0011,Telegram,Package delivered successfully,2026-04-04 00:00:00,Neutral,161,8
POST00514,SUS0017,Telegram,"Payment cleared, thanks bhai",2026-06-22 15:00:00,Coded/Ambiguous,410,9
POST00515,SUS0023,Instagram,Happy Diwali to all my brothers,2026-04-28 01:00:00,Neutral,480,56
POST00516,SUS0146,Facebook,"New phone number, save it",2026-04-22 16:00:00,Suspicious,322,11
POST00517,SUS0042,WhatsApp Status,"Big deal coming this weekend, stay ready",2026-08-17 08:00:00,Suspicious,12,39
